src	dst	numberOfPaths
2224285	2996246	1
2224285	3601716	1
2232637	3753599	2
2232637	3871029	2
2232637	4034400	1
2232637	4252554	2
2232637	3967198	2
2232637	4349964	2
2260103	3729946	1
2267486	3855391	1
2267486	3807811	1
2267486	3590129	1
2267486	4194820	1
2267486	1738602	1
2267486	3486278	1
2267486	4239278	1
2267486	3430382	1
2282657	4646903	5
2282657	3721089	4
2282657	3699112	1
2282657	2321486	3
2289729	3381209	1
2289729	2931873	1
2289729	3334975	1
2317540	4459024	1
2321486	4646903	3
2321486	2282657	3
2321486	3721089	3
2321486	3699112	1
2331740	2979263	1
2331740	3115143	2
2331740	3290353	5
2331740	3427880	3
2331740	3332254	2
2341218	4268887	1
2364987	3334025	1
2364987	3604261	1
2364987	4140549	1
2364987	4418787	1
2364987	2927359	1
2364987	4313113	1
2364987	3040495	1
2364987	3565697	1
2364987	4375817	1
2364987	3365257	1
2364987	4298007	1
2364987	4338465	1
2364987	3838112	1
2364987	4305578	1
2364987	3309012	1
2364987	4060046	1
2364987	3256200	1
2364987	4299618	1
2364987	4344614	1
2410430	654186	1
2410430	3692544	1
2410430	2980996	1
2410430	3045112	1
2410858	644511	1
2410858	3003269	2
2410858	3677791	1
2410858	4778201	1
2410858	3468421	2
2410858	3583733	1
2410858	4339309	1
2410858	654186	2
2410858	3871310	3
2410858	4834946	1
2410858	3563668	2
2410858	2542904	1
2410858	3670214	1
2410858	4327662	3
2410858	3030934	1
2410858	4817076	1
2448909	3378122	1
2542904	3003269	1
2542904	3510931	1
2542904	654186	2
2542904	3692544	1
2542904	3871310	1
2542904	2410858	1
2542904	3563668	1
2542904	4327662	1
2551000	675691	1
2551000	4630479	1
2584093	509315	1
2584093	3065284	1
2585258	3102457	2
2585258	3646597	1
2585258	3853093	3
2585258	3408046	1
2585258	3587522	3
2585258	3231580	2
2585258	3353072	6
2585258	3108922	5
2599637	3700649	1
2599637	3724737	2
2599637	3531245	1
2599637	3676765	1
2599637	2929255	1
2599637	3123055	1
2599637	4108501	1
2599637	3321332	1
2599637	3701002	2
2599637	3706514	1
2599637	3865924	2
2610863	4820050	1
2610863	3104868	1
2610863	3975676	1
2650470	3551650	1
2650810	3289497	1
2650810	4803401	1
2650810	586107	1
2650810	3597629	1
2650810	4173181	2
2650810	4867229	3
2650810	3803297	1
2650810	3876929	1
2650810	3289670	1
2650810	650686	4
2650810	1727538	1
2650810	3460738	3
2650810	3829084	3
2650810	3853726	1
2650810	4266026	1
2713816	3580040	1
2713816	3491888	1
2758563	2993595	1
2758563	3805144	1
2758563	4776052	1
2760587	4028071	1
2760587	3388983	1
2769561	675691	1
2772504	3519105	2
2772504	3895035	2
2772504	2941065	2
2772504	3559621	1
2772504	4609362	1
2772504	3642626	1
2796930	4319591	1
2796930	3225721	1
2796930	3653365	1
2796930	3762214	2
2796930	3096370	1
2796930	3464650	1
2796930	3551740	1
2796930	3344376	1
2834575	917339	1
2834575	1010995	4
2834575	3240329	2
2834575	3243841	1
2834575	4335591	1
2834575	2998491	1
2834575	3813675	1
2834575	3864957	1
2834575	4643749	1
2834575	4805819	1
2834575	47726	2
2834575	4308850	1
2834575	3204588	1
2834575	3719736	1
2834575	3147740	2
2834575	3937780	1
2834575	4813806	1
2834575	3400072	1
2836940	2997159	1
2836940	3368469	1
2836940	3872505	1
2836940	4771673	1
2836940	391511	1
2836940	3618747	1
2836940	3914525	1
2836940	4828886	1
2836940	3336688	1
2836940	3732498	1
2836940	4305716	1
2836940	3604588	1
2903161	3534591	2
2906996	3703633	1
2906996	3697586	1
2906996	3345226	1
2908237	4764739	2
2908237	4795769	1
2908237	4313850	1
2911171	3509749	1
2911171	3628628	2
2911171	2992216	1
2911712	3541013	1
2911712	4386871	1
2911712	4654599	1
2911712	4256391	1
2911712	3525471	1
2911712	3473004	1
2911712	3874042	1
2913955	4314049	1
2913955	4349675	1
2913955	4864903	1
2913955	2927359	2
2913955	3978143	1
2913955	4113687	1
2913955	4162547	2
2913955	3619001	1
2913955	4149691	1
2913955	4536969	1
2913955	3513513	1
2913955	3587969	1
2913955	3667485	1
2913955	3962725	1
2913955	4126583	1
2913955	3838112	1
2913955	4265612	1
2913955	4314978	1
2913955	3309012	1
2913955	3309688	1
2913955	3940302	1
2913955	3976950	1
2913955	4060046	1
2913955	4142050	1
2913955	3322824	2
2913955	3584222	3
2913955	3931206	1
2913955	4510118	1
2913955	3633324	1
2927359	267715	1
2927359	2364987	1
2927359	3334025	1
2927359	3604261	1
2927359	4314049	1
2927359	4349675	1
2927359	4418787	1
2927359	4864903	1
2927359	2913955	2
2927359	3978143	1
2927359	4162547	1
2927359	4313113	1
2927359	3040495	1
2927359	3565697	1
2927359	3619001	1
2927359	4149691	1
2927359	4375817	1
2927359	3365257	1
2927359	3513513	1
